,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
470,-16.4,8.1,658.5,-0.005,0.039,-0.083,0.11,0.02,0.94,0.24,0.0,0.26,0.0,0.0,0.0,0.0,0.07,0.09,0.02,0.16,0.38,0.29,0.0
471,-16.5,8.2,660.6,-0.006,0.04,-0.084,0.08,0.0,0.9,0.22,0.0,0.23,0.0,0.0,0.0,0.0,0.08,0.13,0.02,0.17,0.41,0.29,0.0
472,-16.5,8.3,660.2,-0.005,0.041,-0.084,0.04,0.01,0.86,0.26,0.0,0.13,0.0,0.0,0.0,0.0,0.08,0.14,0.02,0.16,0.4,0.35,0.0
473,-16.5,8.3,660.0,-0.004,0.041,-0.084,0.02,0.01,0.82,0.28,0.0,0.12,0.0,0.0,0.0,0.0,0.07,0.13,0.0,0.17,0.43,0.4,0.0
474,-16.5,8.3,660.2,-0.004,0.041,-0.083,0.02,0.01,0.82,0.26,0.0,0.16,0.0,0.0,0.0,0.0,0.07,0.13,0.0,0.17,0.45,0.46,0.0
475,-16.5,8.3,659.1,-0.002,0.04,-0.083,0.02,0.0,0.8,0.19,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.17,0.49,0.47,0.0
476,-16.5,8.3,658.7,-0.002,0.04,-0.083,0.02,0.0,0.81,0.19,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.13,0.01,0.16,0.46,0.5,0.0
477,-16.5,8.3,658.1,-0.002,0.04,-0.084,0.01,0.0,0.81,0.23,0.0,0.04,0.0,0.0,0.0,0.0,0.02,0.16,0.01,0.17,0.4,0.48,0.0
478,-16.5,8.3,658.2,-0.004,0.04,-0.083,0.01,0.0,0.81,0.28,0.0,0.02,0.0,0.0,0.0,0.0,0.09,0.2,0.0,0.17,0.37,0.4,0.0
479,-16.5,8.3,658.2,-0.004,0.04,-0.084,0.01,0.0,0.79,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.17,0.32,0.35,0.0
480,-16.6,8.3,658.3,-0.004,0.04,-0.084,0.0,0.0,0.82,0.23,0.0,0.01,0.0,0.0,0.0,0.0,0.18,0.15,0.0,0.19,0.36,0.35,0.0
